Epoch	Test Loss	Test Accuracy
1	0.3834	87.89
2	0.2462	92.29
3	0.1584	95.14
4	0.1183	96.37
5	0.0938	97.17
6	0.0865	97.18
7	0.0899	97.08
8	0.0674	97.74
9	0.0704	97.61
10	0.0656	97.87
11	0.0731	97.58
12	0.0518	98.37
13	0.0542	98.15
14	0.0483	98.46
15	0.0475	98.45
16	0.0463	98.53
17	0.0500	98.33
18	0.0418	98.64
19	0.0412	98.70
20	0.0478	98.49
21	0.0432	98.55
22	0.0400	98.74
23	0.0382	98.79
24	0.0384	98.77
25	0.0384	98.77
26	0.0389	98.70
27	0.0372	98.80
28	0.0379	98.69
29	0.0344	98.91
30	0.0357	98.92
31	0.0363	98.92
32	0.0352	98.85
33	0.0359	98.83
34	0.0361	98.90
35	0.0337	98.81
36	0.0412	98.72
37	0.0329	99.05
38	0.0370	98.79
39	0.0338	98.85
40	0.0351	98.90
41	0.0357	98.85
42	0.0375	98.85
43	0.0331	99.00
44	0.0338	98.99
45	0.0390	98.73
46	0.0330	98.92
47	0.0363	98.80
48	0.0330	98.99
49	0.0372	98.93
50	0.0326	99.06
